Flight Number,Airline,Destination,Class,Price ($),Status,Departure Time
FL5176,Lufthansa,Doha,Economy,142.87,Cancelled,23:52
FL9427,Air Algerie,Berlin,Business,773.73,On Time,10:11
FL8198,Kuwait Airways,Doha,Business,887.85,On Time,22:46
FL8345,Air Algerie,Rome,Business,605.13,Cancelled,10:39
FL3082,ITA Airways,New York,First Class,4794.19,On Time,22:20
FL6872,Kuwait Airways,Dubai,Economy,76.72,On Time,16:41
FL9194,Air Algerie,Paris,Economy,273.62,Cancelled,10:06
FL6344,ITA Airways,Paris,First Class,1907.73,Delayed,23:54
FL2419,Emirates,Berlin,First Class,4158.87,On Time,04:06
FL1771,Air France,Madrid,Business,622.59,Cancelled,05:44
FL3139,Kuwait Airways,Kuwait City,Business,789.55,Delayed,19:21
FL2197,Lufthansa,Dubai,Economy,135.56,Delayed,10:44
FL2074,Kuwait Airways,New York,Economy,118.13,Delayed,06:34
FL6551,Kuwait Airways,Paris,Business,792.64,Delayed,00:18
FL4581,Kuwait Airways,Dubai,Economy,295.74,Delayed,23:41
FL8978,ITA Airways,Paris,Economy,54.57,Cancelled,02:58
FL8519,Emirates,Berlin,First Class,3791.41,Delayed,21:28
FL6322,ITA Airways,Algiers,Economy,90.76,Cancelled,11:22
FL8771,Lufthansa,Algiers,Economy,197.07,Cancelled,16:54
FL1336,Emirates,Algiers,First Class,2239.32,Delayed,08:15
FL1154,Emirates,Kuwait City,Business,436.86,Cancelled,08:13
FL2936,ITA Airways,Madrid,First Class,2141.97,On Time,17:09
FL8512,Qatar Airways,Madrid,First Class,4350.84,Cancelled,09:46
FL2622,Air Algerie,New York,Business,994.5,Delayed,01:21
FL1348,Emirates,Kuwait City,Economy,84.48,On Time,11:21
FL8671,Air Algerie,Algiers,Economy,230.87,Delayed,08:56
FL6045,Air Algerie,New York,Economy,74.77,On Time,05:06
FL7457,Air France,Paris,First Class,1228.77,Delayed,20:08
FL1634,Emirates,Dubai,First Class,2030.06,Delayed,21:34
FL8696,Air Algerie,Dubai,Economy,205.71,Cancelled,05:18
FL3375,Lufthansa,Madrid,Business,664.22,Cancelled,05:42
FL1918,Air France,New York,First Class,3003.82,On Time,04:14
FL6563,Qatar Airways,Kuwait City,Business,939.07,Delayed,12:47
FL4109,Kuwait Airways,Doha,Business,482.54,Cancelled,13:20
FL1422,Qatar Airways,Rome,Business,421.5,Delayed,19:36
FL8272,ITA Airways,Kuwait City,First Class,2330.07,Cancelled,12:18
FL3477,Air Algerie,Madrid,First Class,2993.35,On Time,19:07
FL5486,Lufthansa,Doha,First Class,4167.71,Cancelled,10:05
FL1255,Emirates,Dubai,Business,598.19,Delayed,19:29
FL2634,Air Algerie,Algiers,First Class,2821.36,Cancelled,04:57
FL9936,Emirates,Paris,Economy,103.56,On Time,03:43
FL2067,Kuwait Airways,Berlin,Economy,199.96,On Time,06:51
FL3035,Air Algerie,New York,Business,506.04,Delayed,04:02
FL1617,ITA Airways,Kuwait City,Economy,279.51,On Time,16:24
FL3531,Air France,Doha,First Class,2241.48,On Time,00:24
FL7481,Kuwait Airways,Paris,First Class,3633.38,Delayed,18:58
FL9872,Lufthansa,New York,Business,415.92,On Time,08:13
FL9567,Qatar Airways,Algiers,Economy,238.64,On Time,23:56
FL7372,ITA Airways,Berlin,Business,832.5,Delayed,13:01
FL2771,Emirates,Algiers,Economy,129.77,Cancelled,11:33
FL6504,Emirates,Doha,First Class,4267.69,Delayed,21:55
FL7500,ITA Airways,Kuwait City,Business,685.06,On Time,17:42
FL7325,ITA Airways,Algiers,Business,949.07,On Time,03:13
FL1999,Air Algerie,Paris,First Class,3182.46,Cancelled,09:59
FL1383,Qatar Airways,Algiers,Business,541.91,Cancelled,01:43
FL2991,Qatar Airways,Dubai,Economy,105.87,Cancelled,01:53
FL7569,Emirates,Algiers,First Class,4855.52,Cancelled,06:16
FL9063,Qatar Airways,Algiers,Economy,258.33,Delayed,16:37
FL5388,Air Algerie,Doha,Business,554.74,Cancelled,09:34
FL4265,Emirates,Madrid,Business,861.47,Cancelled,01:36
FL6154,Air Algerie,Algiers,First Class,3521.19,Cancelled,12:40
FL6344,Lufthansa,Paris,Economy,162.49,Delayed,06:32
FL4553,Emirates,Doha,First Class,1476.64,Cancelled,12:03
FL7153,Emirates,Algiers,Economy,252.65,Delayed,23:58
FL2014,Air France,Algiers,Business,663.58,Delayed,14:00
FL2039,Kuwait Airways,Algiers,First Class,4679.14,On Time,12:34
FL9198,Air France,Berlin,First Class,1394.93,Delayed,18:06
FL4556,Air Algerie,Berlin,Economy,275.21,Delayed,21:35
FL9885,Emirates,New York,First Class,3268.05,On Time,17:01
FL2365,Air Algerie,Madrid,Business,580.19,Delayed,19:34
FL7188,Lufthansa,Paris,First Class,2514.22,Cancelled,19:20
FL6724,Air Algerie,Dubai,Business,905.81,On Time,17:37
FL5290,Lufthansa,Kuwait City,Economy,51.95,Cancelled,10:12
FL3858,Kuwait Airways,Paris,First Class,3755.04,Delayed,02:40
FL6884,Qatar Airways,New York,Economy,283.81,Cancelled,19:33
FL9928,Lufthansa,Algiers,Business,838.6,Delayed,00:53
FL9574,Kuwait Airways,Paris,First Class,4821.36,On Time,11:36
FL5932,Qatar Airways,Dubai,First Class,1723.52,Cancelled,01:33
FL2423,Qatar Airways,Berlin,Economy,100.71,On Time,00:42
FL4711,Qatar Airways,Rome,First Class,3224.79,Cancelled,12:08
FL5899,Lufthansa,Rome,Economy,185.24,Delayed,05:37
FL4275,Air Algerie,Berlin,First Class,2989.54,On Time,21:04
FL1324,Emirates,Rome,Business,433.21,On Time,20:47
FL3108,Qatar Airways,Rome,Business,460.2,On Time,05:59
FL7867,Emirates,Rome,Economy,98.73,On Time,10:04
FL9146,ITA Airways,Kuwait City,First Class,3349.24,Cancelled,14:23
FL6712,Lufthansa,Rome,First Class,1370.35,Delayed,02:29
FL2846,Emirates,New York,First Class,1835.14,On Time,11:30
FL2210,Emirates,Kuwait City,First Class,1287.7,On Time,10:43
FL9446,Kuwait Airways,Paris,First Class,1468.85,Cancelled,04:43
FL4372,Emirates,Kuwait City,First Class,4814.66,On Time,11:37
FL1835,Lufthansa,Madrid,Business,845.7,Cancelled,22:01
FL7202,Air Algerie,New York,Business,708.49,On Time,07:34
FL6059,Kuwait Airways,New York,First Class,3949.91,Cancelled,10:37
FL1780,ITA Airways,Rome,Economy,115.13,Delayed,05:47
FL5711,Lufthansa,Paris,First Class,3331.47,Cancelled,07:09
FL1335,Kuwait Airways,Rome,Economy,173.18,On Time,12:41
FL9263,ITA Airways,Madrid,Economy,99.76,On Time,11:59
FL9975,ITA Airways,Madrid,Business,729.83,Delayed,01:51
FL3214,Emirates,Rome,Business,614.9,Cancelled,22:27
FL3032,Air France,Kuwait City,Economy,175.38,Cancelled,18:49
FL1725,Kuwait Airways,Berlin,Economy,200.88,Delayed,03:41
FL7453,Qatar Airways,Algiers,First Class,2462.06,On Time,01:18
FL9636,Emirates,Doha,Business,536.99,Cancelled,16:08
FL8440,Air Algerie,Berlin,Economy,116.99,Cancelled,16:17
FL6464,Lufthansa,New York,Business,415.99,Delayed,06:22
FL5405,Air France,New York,First Class,2157.68,Cancelled,20:31
FL4184,Kuwait Airways,Algiers,Business,720.62,Delayed,09:33
FL1704,Lufthansa,Doha,First Class,3934.67,On Time,00:41
FL1398,Kuwait Airways,Paris,Economy,191.82,On Time,19:13
FL4316,Kuwait Airways,Rome,First Class,2222.65,On Time,00:09
FL8327,Kuwait Airways,Berlin,First Class,3597.45,Cancelled,03:58
FL9786,Emirates,Dubai,Economy,169.62,On Time,08:35
FL6299,Lufthansa,Dubai,Economy,229.05,Delayed,12:09
FL8247,Air Algerie,Kuwait City,Economy,219.23,Delayed,13:04
FL5007,Lufthansa,Algiers,First Class,3866.91,Delayed,11:08
FL5418,ITA Airways,New York,Economy,114.25,On Time,16:50
FL5077,Emirates,Doha,Economy,259.8,On Time,06:40
FL4027,ITA Airways,Madrid,First Class,1982.15,Cancelled,18:20
FL9725,Kuwait Airways,Kuwait City,First Class,2174.13,Cancelled,12:36
FL9685,ITA Airways,New York,First Class,2459.39,On Time,11:00
FL2077,Air Algerie,Dubai,Business,869.0,On Time,07:04
FL2163,Lufthansa,Berlin,First Class,2794.7,On Time,13:53
FL9243,Qatar Airways,Berlin,Business,725.53,Delayed,22:32
FL9849,Kuwait Airways,Doha,First Class,2488.17,Delayed,15:29
FL7657,ITA Airways,Doha,Business,884.66,Delayed,09:52
FL4940,Air France,New York,Business,634.64,Delayed,13:29
FL7110,Lufthansa,Madrid,Economy,55.24,Delayed,02:41
FL7474,ITA Airways,Madrid,Business,912.79,Delayed,16:10
FL8102,ITA Airways,Kuwait City,Economy,61.82,Delayed,23:18
FL1824,Lufthansa,Kuwait City,First Class,1640.74,On Time,12:50
FL6690,Kuwait Airways,Paris,Business,451.34,On Time,03:47
FL7702,Qatar Airways,Rome,First Class,3599.37,Delayed,08:29
FL7513,Emirates,Kuwait City,First Class,4014.23,Delayed,05:13
FL9208,Air France,Rome,Economy,107.01,On Time,00:19
FL3856,ITA Airways,Paris,First Class,4547.67,On Time,22:10
FL3155,Qatar Airways,Dubai,Economy,58.76,On Time,01:59
FL8957,Qatar Airways,Berlin,Economy,195.74,Cancelled,15:47
FL4449,Qatar Airways,Rome,Economy,258.96,Delayed,01:55
FL8703,Air Algerie,New York,Economy,259.8,Cancelled,08:04
FL6962,Qatar Airways,Berlin,Business,465.38,Delayed,02:33
FL3478,Air Algerie,Paris,First Class,4582.1,Cancelled,11:56
FL8574,Kuwait Airways,New York,Economy,128.07,Cancelled,10:38
FL4278,Kuwait Airways,New York,Business,425.2,Delayed,13:54
FL3821,Emirates,Madrid,Economy,283.4,On Time,14:08
FL9992,Air Algerie,Rome,Business,500.75,Delayed,06:18
FL5064,Qatar Airways,Berlin,First Class,1574.59,Delayed,23:50
FL4654,ITA Airways,Berlin,First Class,3908.04,On Time,13:47
FL3363,Lufthansa,Berlin,Economy,64.72,Cancelled,23:42
FL3920,Emirates,Berlin,Economy,267.6,On Time,04:54
FL9175,Emirates,New York,First Class,1388.54,On Time,02:30
FL6991,Air France,Berlin,Economy,268.4,Delayed,03:33
FL4033,Kuwait Airways,Algiers,Economy,232.7,On Time,10:03
FL7527,ITA Airways,Kuwait City,Economy,106.49,Cancelled,20:21
FL8803,Emirates,Algiers,Economy,60.3,Delayed,02:51
FL1544,Kuwait Airways,Berlin,Economy,270.35,Cancelled,15:40
FL9790,Kuwait Airways,Paris,Business,698.18,Delayed,21:13
FL1028,Emirates,Dubai,Business,602.34,Cancelled,02:28
FL6752,Emirates,Kuwait City,Economy,156.49,Cancelled,03:29
FL1962,Emirates,Kuwait City,First Class,4003.16,Cancelled,19:53
FL8141,Air Algerie,Dubai,Business,810.49,Delayed,06:39
FL9320,Qatar Airways,Dubai,Economy,242.04,Delayed,02:47
FL6782,Emirates,Madrid,Business,745.25,Delayed,20:42
FL8786,Air France,Paris,Business,599.83,Delayed,08:11
FL5884,Qatar Airways,Berlin,Economy,164.81,On Time,23:09
FL5357,Lufthansa,Madrid,Business,933.28,Cancelled,02:03
FL3282,ITA Airways,Doha,Economy,72.63,On Time,18:52
FL8236,ITA Airways,Paris,Business,861.72,On Time,12:55
FL6072,Air France,Berlin,Economy,57.94,On Time,22:17
FL6545,Emirates,Algiers,First Class,4626.13,On Time,22:00
FL2158,Air Algerie,Madrid,Economy,125.86,Delayed,22:35
FL2806,Air Algerie,Dubai,Economy,123.04,On Time,19:44
FL8683,Kuwait Airways,New York,First Class,1655.88,Cancelled,18:40
FL8544,Air Algerie,Dubai,First Class,4159.03,Cancelled,03:52
FL4193,ITA Airways,Madrid,Economy,232.93,Delayed,12:44
FL9051,Lufthansa,Rome,Economy,103.97,Cancelled,19:50
FL6370,ITA Airways,Berlin,Business,565.16,Delayed,20:50
FL6495,Emirates,Doha,Business,820.28,Cancelled,04:33
FL6514,Kuwait Airways,Paris,First Class,3606.78,Delayed,09:09
FL1274,Kuwait Airways,Doha,Business,668.53,Delayed,04:18
FL1267,Qatar Airways,Berlin,Business,877.27,Delayed,16:43
FL4522,Qatar Airways,Rome,Economy,137.76,On Time,03:41
FL2339,Emirates,New York,Business,629.02,On Time,02:21
FL8813,Air France,Dubai,Economy,171.22,Delayed,23:22
FL4005,Air France,Paris,First Class,1813.28,Cancelled,05:37
FL5068,Lufthansa,Madrid,First Class,4552.6,Delayed,19:02
FL7645,Kuwait Airways,Doha,First Class,4419.16,On Time,04:49
FL8908,Qatar Airways,Berlin,Economy,185.89,Cancelled,16:23
FL8774,ITA Airways,Algiers,Economy,285.25,Cancelled,14:52
FL5953,Emirates,Rome,First Class,3561.54,Cancelled,06:00
FL7877,Lufthansa,Madrid,First Class,3995.64,Delayed,22:19
FL8064,Lufthansa,Rome,Economy,87.82,Delayed,05:36
FL3614,ITA Airways,Rome,First Class,4912.97,On Time,07:34
FL5463,Air France,Algiers,Economy,201.03,Delayed,10:28
FL7239,ITA Airways,Dubai,Economy,256.69,On Time,06:44
FL5568,Kuwait Airways,Madrid,Economy,243.03,Delayed,06:44
FL7193,ITA Airways,Berlin,First Class,4265.42,Cancelled,21:49
FL5367,Kuwait Airways,Dubai,First Class,2938.72,Cancelled,17:37
FL1316,Qatar Airways,Algiers,Economy,286.17,Cancelled,16:49
FL2592,Lufthansa,Berlin,Economy,164.19,Cancelled,18:49
FL7808,ITA Airways,New York,Business,960.53,On Time,14:21
FL5318,Air Algerie,Kuwait City,First Class,3886.43,Delayed,09:16
FL1155,Qatar Airways,Dubai,First Class,3372.82,Cancelled,00:01
FL8200,Qatar Airways,Berlin,First Class,4734.1,On Time,01:57
FL9563,Air Algerie,Madrid,First Class,1924.19,Delayed,02:50
FL8962,Lufthansa,Kuwait City,First Class,3869.03,Cancelled,10:29
FL3926,Kuwait Airways,Dubai,First Class,3159.55,Cancelled,14:55
FL6223,Air Algerie,Berlin,Economy,299.2,Delayed,19:19
FL2383,Air France,Rome,First Class,4249.64,Delayed,18:16
FL8232,Qatar Airways,New York,Economy,152.27,Delayed,05:53
FL4088,Kuwait Airways,Paris,First Class,2620.83,Delayed,08:46
FL2449,Air France,Rome,First Class,4660.75,Delayed,10:14
FL1254,Kuwait Airways,Algiers,Business,756.29,Cancelled,12:55
FL8360,Air Algerie,New York,Economy,205.09,On Time,16:05
FL4224,Qatar Airways,Berlin,First Class,1634.16,On Time,21:22
FL2211,Qatar Airways,Kuwait City,Economy,236.97,On Time,10:56
FL8880,Qatar Airways,Kuwait City,First Class,1588.73,Cancelled,13:07
FL5016,Lufthansa,Rome,Business,467.15,On Time,14:19
FL8202,Lufthansa,New York,First Class,2726.1,Cancelled,21:30
FL8224,Air Algerie,Berlin,First Class,1458.77,Delayed,07:28
FL5176,ITA Airways,New York,Economy,267.52,On Time,01:10
FL9238,Air France,Algiers,First Class,4003.93,Delayed,00:16
FL3005,Qatar Airways,Algiers,Business,885.13,Delayed,02:38
FL5195,Lufthansa,New York,Economy,248.5,On Time,17:12
FL6761,Emirates,Rome,Economy,160.93,On Time,09:19
FL9069,ITA Airways,Paris,Business,700.14,Delayed,07:46
FL2444,Lufthansa,Algiers,Economy,56.11,Cancelled,19:16
FL5065,Lufthansa,Kuwait City,Economy,262.62,Delayed,11:25
FL2591,Emirates,Kuwait City,Business,972.84,On Time,08:38
FL8785,Air France,Dubai,First Class,1253.05,Cancelled,14:17
FL4010,Air France,Kuwait City,Economy,67.78,On Time,13:24
FL3025,Kuwait Airways,Madrid,Economy,202.06,Delayed,06:29
FL8557,Kuwait Airways,Dubai,First Class,4371.47,Delayed,04:42
FL2780,Emirates,Algiers,First Class,4596.22,On Time,11:13
FL9623,Air Algerie,Berlin,Business,969.95,Delayed,13:56
FL7414,Qatar Airways,New York,Business,830.91,On Time,02:16
FL9310,Air France,Dubai,Economy,176.38,Delayed,09:31
FL2161,Emirates,Kuwait City,Business,427.23,On Time,16:15
FL2314,Lufthansa,Algiers,Economy,165.65,On Time,13:08
FL9496,Qatar Airways,Madrid,Business,982.8,On Time,04:01
FL9161,ITA Airways,New York,Economy,57.83,On Time,23:19
FL7162,Qatar Airways,Berlin,First Class,4354.71,Delayed,04:05
FL8049,ITA Airways,New York,Business,583.29,On Time,20:56
FL1171,Kuwait Airways,Berlin,Economy,177.31,On Time,04:46
FL2550,Emirates,Kuwait City,Economy,64.28,On Time,19:32
FL8520,Kuwait Airways,Algiers,Economy,172.13,Cancelled,04:17
FL5980,Kuwait Airways,Dubai,First Class,2638.76,On Time,01:03
FL1545,Emirates,Rome,Business,675.13,Cancelled,12:21
FL8403,Air Algerie,Doha,Business,649.8,Cancelled,18:53
FL7312,Air France,Doha,First Class,2725.4,On Time,22:12
FL5207,Air France,Rome,Business,454.72,On Time,06:32
FL5724,Qatar Airways,Algiers,First Class,2034.85,Delayed,04:35
FL8461,Qatar Airways,Paris,Economy,84.48,Cancelled,11:09
FL4421,Qatar Airways,Kuwait City,Economy,267.26,Cancelled,16:20
FL4974,Emirates,Madrid,Business,553.65,Cancelled,01:58
FL6136,Air Algerie,Kuwait City,First Class,1257.71,On Time,23:42
FL9229,Air Algerie,Doha,Business,884.96,Delayed,07:30
FL2696,Air Algerie,Madrid,Business,668.21,Delayed,23:36
FL7162,ITA Airways,Madrid,First Class,4083.89,On Time,07:55
FL1661,Qatar Airways,Rome,Business,937.93,Cancelled,06:51
FL7608,Air France,Doha,Economy,85.12,Cancelled,00:53
FL9329,Kuwait Airways,Kuwait City,Economy,283.89,On Time,14:08
FL9357,Kuwait Airways,Kuwait City,First Class,4623.85,Delayed,15:01
FL9282,ITA Airways,Doha,Economy,227.46,Delayed,19:15
FL1965,Qatar Airways,Algiers,Business,897.29,Cancelled,23:34
FL9563,Lufthansa,Rome,Business,548.56,Delayed,12:24
FL4871,Qatar Airways,Berlin,Economy,156.16,On Time,09:17
FL2732,Kuwait Airways,New York,Economy,156.53,Cancelled,16:53
FL8943,Air France,Kuwait City,First Class,4273.69,On Time,07:19
FL9198,ITA Airways,Paris,Business,972.78,Cancelled,21:36
FL2687,ITA Airways,Dubai,Economy,159.61,Delayed,07:40
FL6263,Air France,New York,First Class,1500.95,Cancelled,21:54
FL4669,Emirates,Paris,First Class,4747.0,On Time,15:16
FL9643,Air France,Dubai,First Class,2228.28,On Time,13:15
FL4175,Lufthansa,Doha,Economy,58.54,Delayed,11:27
FL6241,ITA Airways,Dubai,First Class,1881.04,Cancelled,21:25
FL1455,Air Algerie,New York,First Class,2601.13,Delayed,02:01
FL9110,Air Algerie,Berlin,Business,461.42,Cancelled,01:47
FL2932,Emirates,Berlin,Business,938.78,Delayed,05:39
FL7928,Kuwait Airways,New York,First Class,3502.04,On Time,16:28
FL8885,Lufthansa,Algiers,Business,538.72,Delayed,18:34
FL6267,Air France,Paris,First Class,3920.22,Cancelled,06:37
FL3196,Air Algerie,Berlin,Business,940.38,On Time,08:12
FL4274,Kuwait Airways,Paris,Business,441.78,On Time,02:59
FL5708,Air France,Berlin,First Class,2387.34,Cancelled,15:17
FL8147,Air Algerie,Paris,First Class,3504.46,On Time,00:02
FL7898,Lufthansa,Algiers,Economy,277.46,Cancelled,12:20
FL3398,ITA Airways,Algiers,Economy,136.58,Cancelled,16:36
FL5730,Air Algerie,Kuwait City,Economy,247.64,Delayed,19:22
FL7443,Kuwait Airways,Algiers,First Class,2061.17,On Time,20:22
FL2487,ITA Airways,Doha,Economy,83.46,Cancelled,00:02
FL8761,Air Algerie,Kuwait City,First Class,3012.85,Cancelled,10:55
FL8671,Qatar Airways,Madrid,First Class,1244.97,Cancelled,17:49
FL8436,Emirates,Paris,First Class,2780.52,Cancelled,14:02
FL2756,Lufthansa,Algiers,Business,836.2,On Time,09:22
FL2844,Air Algerie,New York,Economy,76.64,Cancelled,15:08
FL2980,Lufthansa,Berlin,First Class,4466.23,On Time,18:33
FL9189,ITA Airways,Paris,First Class,4018.56,Cancelled,15:34
FL2979,Emirates,Madrid,Economy,167.95,Delayed,10:44
FL4482,Air France,Madrid,Business,784.76,On Time,19:32
FL7049,Air Algerie,Algiers,First Class,3117.6,Delayed,18:44
FL4755,ITA Airways,Rome,Business,693.63,Delayed,02:58
FL1239,Air France,New York,First Class,3390.81,Cancelled,07:45
FL1248,Air France,Dubai,Economy,132.96,On Time,11:55
FL1993,Air France,Rome,First Class,1852.73,Cancelled,08:22
FL9698,Air Algerie,Algiers,Business,576.88,On Time,22:11
FL5343,Air France,Paris,First Class,3402.02,Delayed,15:25
FL9474,Air France,Berlin,Business,607.13,Delayed,00:13
FL3537,Kuwait Airways,Algiers,Economy,288.42,On Time,03:03
FL5713,Qatar Airways,Paris,First Class,2323.82,Cancelled,18:06
FL5520,Air France,Algiers,Economy,149.29,Delayed,00:19
FL6462,Qatar Airways,Rome,Economy,102.35,Cancelled,14:43
FL2966,ITA Airways,Rome,Economy,200.75,Delayed,22:40
FL2801,ITA Airways,Algiers,First Class,4437.12,On Time,03:35
FL4906,Qatar Airways,Doha,Economy,266.95,Cancelled,06:49
FL9933,Air France,New York,First Class,2981.64,Cancelled,22:54
FL1678,Air France,Berlin,First Class,2557.19,Cancelled,14:09
FL4551,Qatar Airways,New York,Economy,211.35,Delayed,09:27
FL3285,Air France,Dubai,First Class,2140.56,Delayed,12:25
FL9226,Lufthansa,Berlin,First Class,1375.0,Cancelled,18:19
FL5956,ITA Airways,Dubai,Business,573.96,Cancelled,03:46
FL1388,Lufthansa,Rome,Business,583.12,Delayed,07:28
FL2617,ITA Airways,Berlin,Business,910.81,Cancelled,12:22
FL8611,Air France,Kuwait City,Economy,165.42,Delayed,08:16
FL8174,ITA Airways,Rome,Economy,279.83,On Time,07:52
FL6628,Air Algerie,Berlin,Business,734.49,On Time,00:29
FL4977,Air Algerie,Doha,Business,986.99,Cancelled,11:04
FL9297,Emirates,Kuwait City,First Class,1752.29,On Time,13:19
FL8126,Air France,Paris,Business,727.06,Cancelled,20:02
FL4363,Air Algerie,Madrid,Business,842.66,Cancelled,18:01
FL3859,ITA Airways,Kuwait City,First Class,2666.19,Cancelled,11:10
FL1668,Qatar Airways,New York,Business,718.08,On Time,04:57
FL3993,ITA Airways,Paris,Business,836.46,On Time,13:40
FL1633,Qatar Airways,Doha,Business,838.69,Delayed,14:50
FL5185,Kuwait Airways,New York,First Class,4858.86,Delayed,09:34
FL4007,Emirates,Kuwait City,Business,402.73,Delayed,15:26
FL9857,Air France,New York,Business,970.2,On Time,14:36
FL7182,Qatar Airways,Doha,First Class,4922.52,On Time,07:15
FL8241,Kuwait Airways,Rome,Economy,238.09,On Time,07:39
FL8833,ITA Airways,Madrid,Economy,296.51,Cancelled,20:43
FL5568,Qatar Airways,New York,Business,877.46,Delayed,19:22
FL3583,Lufthansa,New York,First Class,3626.6,On Time,04:32
FL4963,Air Algerie,New York,Economy,102.12,Delayed,07:02
FL2697,Kuwait Airways,New York,Business,597.62,On Time,10:36
FL7587,ITA Airways,Madrid,First Class,4160.64,Cancelled,09:06
FL5214,Emirates,Paris,Business,622.9,Delayed,03:29
FL7663,Air France,Rome,Economy,194.33,On Time,09:16
FL1188,Qatar Airways,Doha,First Class,3207.97,Delayed,08:20
FL5969,Air France,Berlin,First Class,2660.72,On Time,04:24
FL4383,Emirates,Rome,Business,579.8,On Time,10:02
FL8242,Qatar Airways,Kuwait City,Economy,245.93,On Time,01:07
FL5833,ITA Airways,Rome,First Class,3386.57,Delayed,20:13
FL6659,Kuwait Airways,Berlin,Economy,50.21,On Time,00:40
FL4672,Air Algerie,Madrid,First Class,3990.24,On Time,21:37
FL6235,ITA Airways,Algiers,First Class,2803.65,Cancelled,02:06
FL7006,Qatar Airways,Dubai,First Class,2989.76,Delayed,12:07
FL2454,Kuwait Airways,Doha,Economy,254.03,Delayed,15:58
FL9482,Emirates,New York,Business,461.4,On Time,12:14
FL4095,Lufthansa,Madrid,First Class,2440.18,Delayed,14:17
FL2506,ITA Airways,Madrid,Economy,113.15,Delayed,23:26
FL7305,Qatar Airways,Dubai,Economy,72.73,On Time,09:32
FL1098,Kuwait Airways,Doha,Business,859.48,Cancelled,11:50
FL4426,ITA Airways,Dubai,Economy,257.92,Delayed,12:29
FL1750,ITA Airways,Rome,Economy,98.74,On Time,08:37
FL2349,Qatar Airways,Dubai,Business,687.8,On Time,08:22
FL1688,Qatar Airways,Doha,First Class,2684.02,Cancelled,19:53
FL2420,Qatar Airways,New York,Economy,180.78,On Time,02:36
FL2138,Emirates,Rome,Business,969.16,Cancelled,18:55
FL6146,Qatar Airways,Algiers,First Class,3995.29,Delayed,10:54
FL9380,Air Algerie,New York,First Class,4799.39,Cancelled,00:11
FL8596,Emirates,Dubai,First Class,1618.63,Cancelled,06:03
FL7976,Air France,Berlin,Business,756.16,Cancelled,10:58
FL7756,ITA Airways,Dubai,First Class,2679.65,Cancelled,09:32
FL3167,ITA Airways,Doha,Business,715.88,On Time,20:37
FL5031,Qatar Airways,Doha,Business,857.15,Delayed,10:15
FL4951,Air France,Berlin,First Class,1855.66,On Time,22:53
FL3264,Air France,Madrid,Business,970.91,On Time,03:36
FL7160,Lufthansa,Doha,Economy,176.66,Delayed,10:04
FL9294,Air Algerie,Algiers,Business,969.88,Delayed,18:33
FL2252,Lufthansa,Berlin,Economy,116.42,On Time,04:59
FL2563,ITA Airways,Madrid,Business,623.4,Cancelled,06:48
FL2814,Air Algerie,Dubai,Business,514.07,Cancelled,14:56
FL6593,Air France,Rome,Economy,203.6,Cancelled,17:49
FL4322,Emirates,Doha,Economy,115.62,On Time,12:34
FL8778,Air France,Kuwait City,First Class,2696.87,On Time,16:38
FL7870,Qatar Airways,Paris,First Class,1311.19,Cancelled,03:28
FL9501,Air France,Doha,Business,494.07,Cancelled,19:11
FL2926,Qatar Airways,New York,Economy,298.52,On Time,17:03
FL8634,Air Algerie,Madrid,First Class,4737.98,On Time,19:22
FL5412,Kuwait Airways,Madrid,Economy,129.4,Delayed,22:20
FL6197,Air France,Madrid,Economy,247.15,On Time,06:54
FL6918,Emirates,Kuwait City,Business,760.34,Cancelled,10:55
FL2234,ITA Airways,Berlin,Business,729.0,Delayed,18:11
FL5624,Air France,Madrid,Economy,270.39,Cancelled,07:38
FL7446,Lufthansa,New York,Economy,53.46,Delayed,07:26
FL4273,Air Algerie,Algiers,Business,961.97,Delayed,09:11
FL4274,Kuwait Airways,Doha,First Class,1983.43,Delayed,18:02
FL8448,ITA Airways,Madrid,Economy,102.47,Delayed,11:42
FL9822,Qatar Airways,New York,Economy,130.31,On Time,05:17
FL4007,ITA Airways,Dubai,Economy,127.58,Delayed,12:46
FL2365,ITA Airways,Doha,First Class,2601.15,Delayed,18:40
FL4609,Qatar Airways,Rome,Business,749.95,Cancelled,16:30
FL4859,Kuwait Airways,New York,Economy,114.71,Delayed,03:14
FL3686,Air France,Dubai,First Class,4160.15,Cancelled,10:38
FL9789,Emirates,Paris,Economy,111.3,Delayed,06:57
FL9043,ITA Airways,Berlin,First Class,2953.3,Cancelled,10:11
FL6258,ITA Airways,Doha,Economy,161.62,On Time,08:57
FL4078,Air Algerie,Dubai,First Class,3973.87,Cancelled,16:13
FL9330,Qatar Airways,Dubai,Economy,121.91,Cancelled,11:57
FL6658,Air France,Dubai,Business,642.39,Delayed,13:32
FL6586,Kuwait Airways,Paris,First Class,2108.94,On Time,06:59
FL2075,ITA Airways,Madrid,First Class,2824.79,Delayed,07:22
FL1428,ITA Airways,Dubai,Business,558.77,Cancelled,17:32
FL2883,Kuwait Airways,New York,First Class,2495.6,Cancelled,16:19
FL8015,Emirates,Madrid,Economy,98.02,On Time,07:30
FL4909,Air Algerie,Berlin,Business,425.02,Delayed,04:13
FL3474,Qatar Airways,Kuwait City,First Class,4475.67,On Time,04:35
